stop_id,stop_code,stop_name,stop_lat,stop_lon
100170,100170,WESTVIEW DR@WESTVIEW PL,33.74744,-84.434656
101002,101002,W END AV SW @ LEE ST SW,33.744114,-84.414177
101004,101004,LEE ST SW@NORCROSS ST SW,33.743196,-84.414327
101006,101006,LEE ST SW@NORCROSS ST SW,33.743338,-84.413776
101008,101008,W END AVE SW @ WELLBORN ST SW,33.744457,-84.415237
101010,101010,PETERS ST SW@HAYNES ST SW,33.749214,-84.399712
101014,101014,FAIR ST SW@NORTHSIDE DR SW,33.748914,-84.404427
101016,101016,FAIR ST SW@WALNUT ST SW,33.749182,-84.406514
101018,101018,FAIR ST SW@VINE ST SW,33.749315,-84.407764
101020,101020,FAIR ST SW@ELM ST SW,33.749358,-84.409504
101022,101022,FAIR ST SW@LAWSHE ST SW,33.749366,-84.411069
101024,101024,FAIR ST SW @ JAMES P BRAWLEY DR SW,33.749556,-84.412599
101026,101026,FAIR ST SW@MILTON ST SW,33.749457,-84.414271
101030,101030,PETERS ST SW@FAIR ST SW,33.748085,-84.401161
101031,101031,FAIR ST SW@PETERS ST SW,33.74805,-84.40144
101032,101032,FAIR ST SW@WALKER ST SW,33.748594,-84.40247
101036,101036,FAIR ST SW@WALNUT ST SW,33.74902,-84.406578
101038,101038,FAIR ST SW@VINE ST SW,33.749146,-84.407845
101040,101040,FAIR ST SW@ELM ST SW,33.749191,-84.409325
101042,101042,FAIR ST SW@JOHN HOPE DR SW,33.749192,-84.410651
101044,101044,FAIR ST SW @ JAMES P BRAWLEY DR SW,33.749168,-84.413086
101046,101046,FAIR ST SW@MILTON ST SW,33.749146,-84.414597
101069,101069,MARTIN LUTHER KING J DR @ JOSEPH E LOWERY BLVD,33.754678,-84.417739
101080,101080,MARTIN LUTHER KING J DR SW@MAPLE ST,33.754607,-84.40552
101092,101092,WHITEHALL ST SW@SPRING ST SW,33.746006,-84.399132
101096,101096,WHITEHALL ST SW@SPRING ST SW,33.745982,-84.398945
101098,101098,WHITEHALL ST SW@385,33.7453,-84.400551
101100,101100,WHITEHALL ST SW@400,33.74522,-84.400499
101104,101104,WHITEHALL ST SW@WHITEHALL TERR SW,33.744049,-84.403198
101108,101108,MCDANIEL ST SW@FULTON ST SW,33.741486,-84.402941
101110,101110,WHITEHALL ST SW@WHITEHALL TER SW,33.744046,-84.402911
101126,101126,PETERS ST SW@HAYNES ST SW,33.748894,-84.399712
101130,101130,MARTIN LUTHER KING J DR SW@TATNAL S,33.754659,-84.407716
101133,101133,MARTIN LUTHER KING J DR@MAYSON TUR,33.754761,-84.415011
101134,101134,MARTIN LUTHER KING J DR SW@GRIFFIN,33.754736,-84.411695
101135,101135,NORTHSIDE DR @ LARKIN ST,33.748055,-84.405154
101139,101139,MARTIN LUTHER J DR@PASCHAL BLVD SW,33.754609,-84.414402
101144,101144,MARTIN LUTHER KING J DR SW@SUNSET A,33.754506,-84.410251
101146,101146,MARTIN LUTHER KING J DR SW@TATNAL S,33.75473,-84.407553
101150,101150,MARTIN LUTHER KING J DR SW @ NORTHSIDE DR,33.754582,-84.402867
101156,101156,NORTHSIDE DR SW @ MITCHELL ST SW,33.753928,-84.402845
101157,101157,NORTHSIDE DR @ MARKHAM ST,33.752899,-84.402844
101160,101160,NORTHSIDE DR SW @ MARKHAM ST SW,33.751923,-84.402788
101162,101162,NORTHSIDE DR SW @ CHAPEL ST SW,33.750867,-84.403255
101166,101166,NORTHSIDE DR SW @ NELSON ST SW,33.750033,-84.403535
101168,101168,MARTIN LUTHER KING J@JAMES P BRA,33.754673,-84.412825
101446,101446,MARTIN LUTHER KING J DR@GRIFFIN ST,33.754536,-84.411523
101448,101448,MARTIN LUTHER KING J DR@SUNSET AVE,33.754738,-84.409923
101460,101460,MCDANIEL ST@WHITEHALL ST,33.743499,-84.40391
101464,101464,MARTIN LUTHER KING J@JAMES P BRAWLE,33.754736,-84.41263
101466,101466,MARTIN LUTHER KING J DR@ASHBY ST,33.754759,-84.417391
101468,101468,W END AVE @ LEE ST,33.744607,-84.414342
102004,102004,MARTIN L KING JR DR @ FORSYTH ST,33.75269,-84.393179
102011,102011,HILL ST SE @ WOODWARD AVE SE,33.745662,-84.379324
102012,102012,HILL ST@LOGAN ST,33.744606,-84.379334
102022,102022,PEACHTREE ST SW @ MITCHELL ST SW,33.750864,-84.393047
102026,102026,PRYOR ST SW@MEMORIAL DR SW,33.747202,-84.39437
102028,102028,PRYOR ST@GARNETT ST,33.748089,-84.393686
102030,102030,PRYOR ST SW@TRINITY AVE SW,33.74945,-84.392775
102032,102032,PRYOR ST @ MARTIN L KING JR DR,33.751593,-84.391066
102040,102040,EDGEWOOD AVE @ PEACHTREE CENTER AVE,33.754448,-84.386462
102042,102042,DECATUR ST SE @ PEACHTREE CENTER AVE,33.753105,-84.38757
102044,102044,DECATUR ST SE @ COLLINS ST SE,33.7523,-84.386449
102046,102046,DECATUR ST @ PIEDMONT AVE,33.75143,-84.384945
102051,102051,JESSE HILL JR DR SE @ DECATUR ST,33.750645,-84.38423
